Y,Timestamp,X,Page,Interaction Type
910,1524850000000,725.5,magnetbox,touch
385.5,1524860000000,230,magnetbox,touch
393,1524860000000,464,magnetbox,touch
384,1524860000000,751,magnetbox,touch
650,1524860000000,228,magnetbox,touch
642,1524860000000,461.5,magnetbox,touch
673.5,1524860000000,716.5,magnetbox,touch
886,1524860000000,209.5,magnetbox,touch
913.5,1524860000000,468.5,magnetbox,touch
906.5,1524860000000,730.5,magnetbox,touch
389,1524860000000,230.5,magnetbox,touch
382.5,1524860000000,460.5,magnetbox,touch
413,1524860000000,733,magnetbox,touch
660,1524860000000,233,magnetbox,touch
672,1524860000000,497,magnetbox,touch
656.5,1524860000000,726,magnetbox,touch
913,1524860000000,253,magnetbox,touch
891,1524860000000,472,magnetbox,touch
401.5,1524860000000,250,magnetbox,touch
401.5,1524860000000,494,magnetbox,touch
441.5,1524860000000,744.5,magnetbox,touch
632,1524860000000,228,magnetbox,touch
623.5,1524860000000,474,magnetbox,touch
883.5,1524860000000,234,magnetbox,touch
885.5,1524860000000,239,magnetbox,touch
916.5,1524860000000,478.5,magnetbox,touch
894.5,1524860000000,694.5,magnetbox,touch
377,1524860000000,224.5,magnetbox,touch
411.5,1524860000000,485,magnetbox,touch
407.5,1524860000000,720.5,magnetbox,touch
618.5,1524860000000,213,magnetbox,touch
643.5,1524860000000,451.5,magnetbox,touch
655,1524860000000,729.5,magnetbox,touch
906,1524860000000,242.5,magnetbox,touch
918,1524860000000,483.5,magnetbox,touch
909,1524860000000,723,magnetbox,touch
376,1524870000000,214.5,magnetbox,touch
394,1524870000000,465.5,magnetbox,touch
389.5,1524870000000,728.5,magnetbox,touch
644,1524870000000,207.5,magnetbox,touch
591,1524870000000,480.5,magnetbox,touch
657,1524870000000,741,magnetbox,touch
892,1524870000000,186,magnetbox,touch
893,1524870000000,464.5,magnetbox,touch
842.5,1524870000000,708,magnetbox,touch
385,1524870000000,216.5,magnetbox,touch
360,1524870000000,483.5,magnetbox,touch
396,1524870000000,699.5,magnetbox,touch
649,1524870000000,234.5,magnetbox,touch
640,1524870000000,455.5,magnetbox,touch
633,1524870000000,748.5,magnetbox,touch
860,1524870000000,228,magnetbox,touch
861.5,1524870000000,457,magnetbox,touch
869.5,1524870000000,649.5,magnetbox,touch
358.5,1524890000000,225,magnetbox,touch
353,1524890000000,480.5,magnetbox,touch
368.5,1524890000000,708.5,magnetbox,touch
587.5,1524890000000,201.5,magnetbox,touch
577,1524890000000,476,magnetbox,touch
616,1524890000000,711.5,magnetbox,touch
885,1524890000000,206.5,magnetbox,touch
880,1524890000000,444,magnetbox,touch
869.5,1524890000000,692,magnetbox,touch
385.5,1524890000000,199,magnetbox,touch
397.5,1524890000000,469,magnetbox,touch
445.5,1524890000000,691,magnetbox,touch
663,1524890000000,231,magnetbox,touch
614,1524890000000,475,magnetbox,touch
676.5,1524890000000,719,magnetbox,touch
900.5,1524890000000,219.5,magnetbox,touch
892,1524890000000,453,magnetbox,touch
852,1524890000000,703,magnetbox,touch
389.5,1524936223734,212,magnetbox,touch
411.5,1524936236574,467,magnetbox,touch
416.5,1524936240608,692.5,magnetbox,touch
642,1524936270228,212.5,magnetbox,touch
656,1524936274565,447,magnetbox,touch
621.5,1524936284881,688.5,magnetbox,touch
857.5,1524936286573,214,magnetbox,touch
905,1524936306702,434,magnetbox,touch
908.5,1524936308255,713,magnetbox,touch
392,1524936345277,225.5,magnetbox,touch
380.5,1524936349032,470,magnetbox,touch
380,1524936363626,757.5,magnetbox,touch
620.5,1524936389593,214,magnetbox,touch
658,1524936410190,458.5,magnetbox,touch
625,1524936412284,690.5,magnetbox,touch
876.5,1524936413528,219,magnetbox,touch
886,1524936444443,489.5,magnetbox,touch
896,1524936449719,699,magnetbox,touch
