Y,Timestamp,X,Page,Interaction Type
645,1524937326419,239.5,zoombox,touch
905,1524937337504,231,zoombox,touch
916,1524937340949,476,zoombox,touch
892,1524937347672,713,zoombox,touch
658,1524937358974,239.5,zoombox,touch
379,1524942043783,195.5,zoombox,touch
335.5,1524942052893,474.5,zoombox,touch
418.5,1524942062329,723.5,zoombox,touch
641,1524942081760,193.5,zoombox,touch
638,1524942091464,476,zoombox,touch
635.5,1524942100928,702.5,zoombox,touch
914.5,1524942108043,246,zoombox,touch
909,1524942124289,494.5,zoombox,touch
911,1524942132882,708.5,zoombox,touch
910,1524942144919,689,zoombox,touch
358.5,1524942151298,208.5,zoombox,touch
388.5,1524942156929,478,zoombox,touch
398,1524942167032,721,zoombox,touch
630,1524942171391,219,zoombox,touch
636.5,1524942193852,473.5,zoombox,touch
639,1524942201993,767.5,zoombox,touch
868.5,1524942206563,238.5,zoombox,touch
859.5,1524942211802,478,zoombox,touch
378,1524947906862,221,zoombox,touch
362,1524947922663,434.5,zoombox,touch
388.5,1524947930322,723.5,zoombox,touch
625.5,1524947942869,221,zoombox,touch
612,1524947953176,440,zoombox,touch
628.5,1524947965786,695.5,zoombox,touch
894,1524947978573,203.5,zoombox,touch
881.5,1524947990393,457.5,zoombox,touch
908,1524948006982,710,zoombox,touch
358.5,1524948014716,204,zoombox,touch
380,1524948027925,449.5,zoombox,touch
388,1524948044557,704,zoombox,touch
619.5,1524948060750,230,zoombox,touch
638,1524948069888,455.5,zoombox,touch
653.5,1524948084729,704.5,zoombox,touch
867.5,1524948091218,226,zoombox,touch
869,1524948097824,479.5,zoombox,touch
896.5,1524948107400,721.5,zoombox,touch
645,1524963969316,480,zoombox,touch
368.5,1524964006909,214.5,zoombox,touch
385.5,1524964013778,469.5,zoombox,touch
371.5,1524964037131,711.5,zoombox,touch
688,1524964060050,263.5,zoombox,touch
644,1524964081928,455,zoombox,touch
653,1524964100263,731,zoombox,touch
889,1524964110871,184.5,zoombox,touch
879,1524964122839,465,zoombox,touch
878,1524964151320,713.5,zoombox,touch
360.5,1524964160453,220.5,zoombox,touch
401.5,1524964175980,468,zoombox,touch
397,1524964191467,744.5,zoombox,touch
426.5,1525022661467,201.5,zoombox,touch
391,1525022663966,454.5,zoombox,touch
409.5,1525022675228,703.5,zoombox,touch
701.5,1525022678335,223,zoombox,touch
670.5,1525022696008,237,zoombox,touch
623.5,1525022698399,478.5,zoombox,touch
649,1525022706095,695.5,zoombox,touch
892.5,1525022710735,226,zoombox,touch
398,1525022752781,226.5,zoombox,touch
384,1525022758056,464,zoombox,touch
435,1525022768723,740.5,zoombox,touch
637,1525022791958,483,zoombox,touch
656,1525022800995,719,zoombox,touch
891.5,1525022813389,237,zoombox,touch
880.5,1525022822158,449,zoombox,touch
868,1525022832853,697,zoombox,touch
392,1525035012161,231,zoombox,touch
378,1525035018643,507.5,zoombox,touch
399,1525035029367,708,zoombox,touch
636,1525035042156,541,zoombox,touch
674.5,1525035057184,735.5,zoombox,touch
914,1525035060901,229.5,zoombox,touch
894.5,1525035072600,492.5,zoombox,touch
